sample	strain	lineage	accession	chromosome	length	source	vni_subdivision	dataset	samples_in_lineage	samples_in_dataset_lineage	total_samples	norm_chrom_mean	norm_chrom_median	total_cnv_size	n_cnvs	first	last	mean_cnv_depth	median_cnv_depth	repeat_size	dup_coverage_percent	dup_span_size	dup_span_percent	dup_repeat_percent
ERS2541283	04CN-03-017	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541283	04CN-03-017	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	867	1	942001	942867	0.09	0.09	867	0.09	866	0.09	0.09
ERS2541284	BMD3135	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-5	Ashton	853	668	1055	0.92	0.91	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-5	Ashton	853	668	1055	1.14	0.95	7500	1	274001	281500	44.85	44.85	4710	0.46	7499	0.46	0.29
ERS2541284	BMD3135	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1	4000	1	1533001	1537000	7.6	7.6	312	0.25	3999	0.25	0.02
ERS2541284	BMD3135	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-5	Ashton	853	668	1055	1.1	1.09	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-5	Ashton	853	668	1055	0.97	0.95	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-5	Ashton	853	668	1055	1.05	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-5	Ashton	853	668	1055	1.07	1.07	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-5	Ashton	853	668	1055	1.09	1.09	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-5	Ashton	853	668	1055	1.1	1.09	4000	1	582501	586500	2.37	2.37	2196	0.38	3999	0.38	0.21
ERS2541284	BMD3135	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-5	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541284	BMD3135	VNI	CP003831.1	chr12	774062	Clinical	VNIa-5	Ashton	853	668	1055	1.23	1.23	12500	1	760001	772500	1.64	1.64	753	1.61	12499	1.61	0.1
ERS2541284	BMD3135	VNI	CP003832.1	chr13	756744	Clinical	VNIa-5	Ashton	853	668	1055	1.18	1.18	8500	1	742501	751000	2.92	2.92	4628	1.12	8499	1.12	0.61
ERS2541284	BMD3135	VNI	CP003833.2	chr14	942867	Clinical	VNIa-5	Ashton	853	668	1055	1.13	1.14	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.98	11000	1	339501	350500	7.3	7.3	0	0.48	10999	0.48	0
ERS2541286	04CN-11-011	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.12	0.96	7500	1	274001	281500	42.96	42.96	4710	0.46	7499	0.46	0.29
ERS2541286	04CN-11-011	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1	1	6000	1	333001	339000	2.06	2.06	47	0.42	5999	0.42	0
ERS2541286	04CN-11-011	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	4000	1	164001	168000	1.9	1.9	3807	0.29	3999	0.29	0.27
ERS2541286	04CN-11-011	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.04	4000	1	162501	166500	4.61	4.61	1291	0.52	3999	0.52	0.17
ERS2541286	04CN-11-011	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541286	04CN-11-011	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1	1	867	1	942001	942867	0.07	0.07	867	0.09	866	0.09	0.09
ERS2541287	BMD2834	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	0.93	0.88	11000	1	339501	350500	9.3	9.3	0	0.48	10999	0.48	0
ERS2541287	BMD2834	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.1	0.88	7500	1	274001	281500	52.26	52.26	4710	0.46	7499	0.46	0.29
ERS2541287	BMD2834	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.08	1.08	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.94	0.92	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541287	BMD2834	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.25	1.23	8000	3	161501	770500	2.04	1.58	2288	1.03	608999	78.68	0.3
ERS2541287	BMD2834	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.22	1.25	3000	1	25001	28000	1.64	1.64	0	0.4	2999	0.4	0
ERS2541287	BMD2834	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.1	1.1	1367	1	941501	942867	0.33	0.33	991	0.14	1366	0.14	0.11
ERS2541288	04CN-03-075	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.08	1.03	11000	1	339501	350500	5.3	5.3	0	0.48	10999	0.48	0
ERS2541288	04CN-03-075	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.23	1	7500	1	274001	281500	56.39	56.39	4710	0.46	7499	0.46	0.29
ERS2541288	04CN-03-075	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.03	2500	1	1202001	1204500	1.68	1.68	83	0.16	2499	0.16	0.01
ERS2541288	04CN-03-075	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.19	1.09	179000	5	164001	1397000	2.28	2.09	16642	12.79	1232999	88.1	1.19
ERS2541288	04CN-03-075	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.06	2000	1	336001	338000	1.66	1.66	0	0.19	1999	0.19	0
ERS2541288	04CN-03-075	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	4000	1	789501	793500	1.89	1.89	352	0.26	3999	0.26	0.02
ERS2541288	04CN-03-075	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.11	1.06	4500	1	162501	167000	4.44	4.44	1607	0.58	4499	0.58	0.21
ERS2541288	04CN-03-075	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541288	04CN-03-075	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	867	1	942001	942867	0.06	0.06	867	0.09	866	0.09	0.09
ERS2541289	04CN-11-001	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1	11000	1	339501	350500	6.33	6.33	0	0.48	10999	0.48	0
ERS2541289	04CN-11-001	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.14	0.96	7500	1	274001	281500	44.63	44.63	4710	0.46	7499	0.46	0.29
ERS2541289	04CN-11-001	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.96	0.96	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.34	1.25	269000	2	168501	585000	1.94	1.94	3996	22.67	416499	35.09	0.34
ERS2541289	04CN-11-001	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541289	04CN-11-001	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	367	1	942501	942867	0	0	367	0.04	366	0.04	0.04
ERS2541290	04CN-32-053	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-5	Ashton	853	668	1055	1.06	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-5	Ashton	853	668	1055	1.2	1	7500	1	274001	281500	48.39	48.39	4710	0.46	7499	0.46	0.29
ERS2541290	04CN-32-053	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-5	Ashton	853	668	1055	1.08	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-5	Ashton	853	668	1055	1.07	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-5	Ashton	853	668	1055	1.05	1.05	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-5	Ashton	853	668	1055	1.04	1.03	4000	1	164001	168000	1.88	1.88	3807	0.29	3999	0.29	0.27
ERS2541290	04CN-32-053	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-5	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-5	Ashton	853	668	1055	1.06	1.05	4000	1	336501	340500	1.81	1.81	0	0.38	3999	0.38	0
ERS2541290	04CN-32-053	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-5	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541290	04CN-32-053	VNI	CP003831.1	chr12	774062	Clinical	VNIa-5	Ashton	853	668	1055	1.11	1.03	6000	1	325001	331000	1.7	1.7	17	0.78	5999	0.78	0
ERS2541290	04CN-32-053	VNI	CP003832.1	chr13	756744	Clinical	VNIa-5	Ashton	853	668	1055	1.04	1.03	5000	1	743501	748500	1.68	1.68	2598	0.66	4999	0.66	0.34
ERS2541290	04CN-32-053	VNI	CP003833.2	chr14	942867	Clinical	VNIa-5	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.49	1.48	477000	80	158001	2173500	1.72	1.67	7830	20.82	2015499	87.96	0.34
ERS2541291	04CN-32-083	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.29	1	7500	1	274001	281500	75.04	75.04	4710	0.46	7499	0.46	0.29
ERS2541291	04CN-32-083	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.27	1.24	150500	29	35501	944000	1.63	1.66	2440	8.29	908499	50.06	0.13
ERS2541291	04CN-32-083	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	4000	1	164001	168000	2.17	2.17	3807	0.29	3999	0.29	0.27
ERS2541291	04CN-32-083	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	926501	930500	1.96	1.96	2887	0.26	3999	0.26	0.18
ERS2541291	04CN-32-083	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.07	1.04	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541291	04CN-32-083	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1	1	867	1	942001	942867	0.06	0.06	867	0.09	866	0.09	0.09
ERS2541292	04CN-03-006	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.02	11000	1	339501	350500	5.58	5.58	0	0.48	10999	0.48	0
ERS2541292	04CN-03-006	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.12	0.98	7500	1	274001	281500	36.49	36.49	4710	0.46	7499	0.46	0.29
ERS2541292	04CN-03-006	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541292	04CN-03-006	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.98	0.98	867	1	942001	942867	0.11	0.11	867	0.09	866	0.09	0.09
ERS2541293	04CN-03-003	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.03	11000	1	339501	350500	7.11	7.11	0	0.48	10999	0.48	0
ERS2541293	04CN-03-003	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.2	1	7500	1	274001	281500	50.12	50.12	4710	0.46	7499	0.46	0.29
ERS2541293	04CN-03-003	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.97	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	0.99	0.97	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.96	0.97	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541293	04CN-03-003	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.97	867	1	942001	942867	0.08	0.08	867	0.09	866	0.09	0.09
ERS2541294	04CN-32-059	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	11000	1	339501	350500	6.16	6.16	0	0.48	10999	0.48	0
ERS2541294	04CN-32-059	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.11	0.93	7500	1	274001	281500	42.23	42.23	4710	0.46	7499	0.46	0.29
ERS2541294	04CN-32-059	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1.03	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.03	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.06	1.07	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.13	1.1	5500	1	161501	167000	5.37	5.37	2604	0.71	5499	0.71	0.34
ERS2541294	04CN-32-059	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	1.04	1.07	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS2541294	04CN-32-059	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1.03	867	1	942001	942867	0.08	0.08	867	0.09	866	0.09	0.09
ERS2541295	04CN-32-084	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.97	11000	1	339501	350500	7.96	7.96	0	0.48	10999	0.48	0
ERS2541295	04CN-32-084	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.14	0.93	7500	1	274001	281500	49.54	49.54	4710	0.46	7499	0.46	0.29
ERS2541295	04CN-32-084	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
